"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"15.06.2025 16:31:27";"15.06.2025";"*1581";"OK";"-381,00";"RUB";"-381,00";"RUB";"3";"Такси";"4121";"Uber";"3,00";"0,00";"381,00"
"15.06.2025 13:54:11";"15.06.2025";"*2572";"OK";"-213,78";"RUB";"-213,78";"RUB";"2";"Супермаркеты";"5499";"Красное и белое";"2,00";"0,00";"213,78"
"15.06.2025 13:47:58";"15.06.2025";"*2572";"OK";"-1673,00";"RUB";"-1673,00";"RUB";"16";"Супермаркеты";"5411";"Чижик";"16,00";"0,00";"1673,00"
"14.06.2025 22:57:47";"14.06.2025";"";"OK";"-99,00";"RUB";"-99,00";"RUB";"";"Услуги банка";"9999";"Плата за оповещения об операциях";"0,00";"0,00";"99,00"
"14.06.2025 22:36:30";"14.06.2025";"";"OK";"527,00";"RUB";"527,00";"RUB";"";"Бонусы";"";"Кэшбэк за обычные покупки";"0,00";"0,00";"527,00"
"14.06.2025 17:22:58";"14.06.2025";"*2572";"OK";"-407,97";"RUB";"-407,97";"RUB";"4";"Супермаркеты";"5411";"Перекрёсток";"4,00";"0,00";"407,97"
"14.06.2025 14:32:54";"14.06.2025";"*2572";"OK";"-71,00";"RUB";"-71,00";"RUB";"";"Транспорт";"4131";"Волжская автоколонна №1732";"0,00";"0,00";"71,00"
"14.06.2025 13:05:03";"14.06.2025";"";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Переводы";"";"Альбина М.";"0,00";"0,00";"500,00"
"14.06.2025 12:28:11";"14.06.2025";"*1581";"OK";"300,00";"RUB";"300,00";"RUB";"";"Переводы";"";"Виктория Е.";"0,00";"0,00";"300,00"
"14.06.2025 10:42:27";"14.06.2025";"*2572";"OK";"-12000,00";"RUB";"-12000,00";"RUB";"120";"Образование";"8299";"Касса";"120,00";"0,00";"12000,00"
"14.06.2025 08:11:22";"14.06.2025";"*2572";"OK";"-279,98";"RUB";"-279,98";"RUB";"2";"Супермаркеты";"5411";"Пятёрочка";"2,00";"0,00";"279,98"
"13.06.2025 21:27:36";"13.06.2025";"*2572";"OK";"-154,98";"RUB";"-154,98";"RUB";"1";"Супермаркеты";"5499";"Бристоль";"1,00";"0,00";"154,98"
"13.06.2025 21:21:36";"13.06.2025";"*2572";"OK";"-255,00";"RUB";"-255,00";"RUB";"2";"Различные товары";"5993";"Magazin Dya 3";"2,00";"0,00";"255,00"
"13.06.2025 21:02:23";"13.06.2025";"*2572";"OK";"-673,92";"RUB";"-673,92";"RUB";"6";"Супермаркеты";"5411";"Перекрёсток";"6,00";"0,00";"673,92"
"13.06.2025 17:46:32";"13.06.2025";"*2572";"OK";"-320,00";"RUB";"-320,00";"RUB";"3";"Различные товары";"5993";"Табачная лавка";"3,00";"0,00";"320,00"
"13.06.2025 17:46:26";"13.06.2025";"*1581";"OK";"320,00";"RUB";"320,00";"RUB";"";"Переводы";"";"Илья Т.";"0,00";"0,00";"320,00"
"13.06.2025 17:45:19";"13.06.2025";"*2572";"OK";"-207,98";"RUB";"-207,98";"RUB";"2";"Супермаркеты";"5411";"Перекрёсток";"2,00";"0,00";"207,98"
"13.06.2025 17:42:56";"13.06.2025";"*2572";"OK";"-32,00";"RUB";"-32,00";"RUB";"";"Транспорт";"4131";"Транспорт Волгограда";"0,00";"0,00";"32,00"
"13.06.2025 11:38:55";"13.06.2025";"";"OK";"-574,00";"RUB";"-574,00";"RUB";"";"Переводы";"";"Аноним";"0,00";"0,00";"574,00"
"13.06.2025 10:26:31";"13.06.2025";"*2572";"OK";"-850,00";"RUB";"-850,00";"RUB";"8";"Красота";"7230";"Studiya 14";"8,00";"0,00";"850,00"
"13.06.2025 09:49:20";"13.06.2025";"*2572";"OK";"-44,99";"RUB";"-44,99";"RUB";"";"Супермаркеты";"5499";"Бристоль";"0,00";"0,00";"44,99"
